,comment_count,dislike_count,duration,like_count,live,title,view_count,publish_hour,publish_day,publish_month,publish_date,days_after_last_video,title_length,description_length,tag_count
1035,211,44,71,218,0,MacBook Air Windows 7 vs Snow Leopard Boot Up,42591,9,3,11,2010-11-04,1,45,424,21
1034,91,29,97,349,0,BeatBox by Dr Dre Sound Demo / Test,71494,12,3,11,2010-11-04,0,35,440,30
1033,43,12,191,170,0,Fable 3 Review + Gameplay,48769,14,3,11,2010-11-04,0,25,714,24
1032,56,19,144,260,0,Xbox 360 Kinect Review and Roundup,59219,2,5,11,2010-11-06,2,34,631,23
1031,1447,313,85,4537,0,Kitties + Black Ops RC Car Demo = Awesome (Prestige Edition),1034238,18,5,11,2010-11-06,0,60,491,23
1030,67,9,136,113,0,"VIZIO 19"" LCD HDTV Unboxing and Review (Razor LED Series)",15815,20,6,11,2010-11-07,1,57,580,14
1029,36,3,159,75,0,Call of Duty Black Ops Review + Gameplay (Campaign & Multi Player),8256,18,0,11,2010-11-08,1,66,360,16
1028,73,24,111,320,0,BlackBerry Style 9670 Unboxing and First Look,113878,12,1,11,2010-11-09,1,45,270,11
1027,1535,190,201,2800,0,Beats Pro vs Beats Studio (Beats By Dre),758132,1,6,11,2010-11-14,5,40,1423,21
1026,70,6,71,105,0,"""Thanksgiving"" Canon 60D 1080P Test Footage (EF 50mm 1.4 Lens)",29034,0,1,11,2010-11-16,2,62,518,14
1025,93,28,105,226,0,Samsung 32 inch Series 3 LCD HDTV Unboxing  (LN32C350),92296,1,3,11,2010-11-18,2,54,281,17
1024,119,14,83,163,0,Sennheiser HD 595 High Performance Headphones Unboxing,37738,20,5,11,2010-11-20,2,54,765,18
1023,72,13,104,151,0,Denon AH-D2000 Headphones Unboxing,22433,11,3,11,2010-11-25,5,34,1116,22
1022,65,3,119,127,0,Zoom Q3HD Handy Video Recorder Unboxing,25323,1,6,11,2010-11-28,3,39,403,17
1021,91,12,98,104,0,Zoom Q3HD vs iPod Touch 4G: Audio and Video Test,44090,21,1,11,2010-11-30,2,48,481,20
1020,67,11,68,92,0,"Zoom Q3HD vs iPod Touch 4G ""Take 2"" - Audio and Video Test",43424,23,3,12,2010-12-02,2,58,683,20
1019,109,14,80,278,0,My Jon4Lakers Impression =P Holiday Giveaway Response!,12344,19,4,12,2010-12-03,1,54,529,15
1018,190,46,109,266,0,iPad 2 has Arrived.,122026,21,4,12,2010-12-03,0,19,629,19
1017,134,321,87,197,0,iPad 2: Rear Facing Camera,370090,18,5,12,2010-12-04,1,26,649,16
1016,1377,133,198,3439,0,USB Mic Shootout: Review & Audio Comparison - Blue Yeti vs Snowball vs Audio Technica AT2020,556833,0,0,12,2010-12-06,2,92,768,18
1015,27,6,119,56,0,Google Nexus S: Unboxing & Hands On,12332,20,1,12,2010-12-07,1,35,296,17
1014,157,15,80,104,0,Google Nexus S vs iPhone 4: Camera Quality Test - Picture & Video,43176,20,4,12,2010-12-10,3,65,601,16
1013,50,9,91,114,0,Sennheiser HD 280 Pro Headphones Unboxing,22100,0,1,12,2010-12-14,4,41,536,18
1012,179,41,426,425,0,Google Nexus S Review: Better than the iPhone 4?,93248,6,4,12,2010-12-17,3,48,659,18
1011,355,19,127,395,0,Christmas Unboxing! Skullcandy: Chicago Bulls Headphones | Derrick Rose,111658,19,5,12,2010-12-18,1,71,522,14
1010,188,10,180,288,0,Best In-Ear Headphones Under $100: Klipsch Image S4 (Review),67364,2,1,12,2010-12-21,3,60,612,29
1009,30,4,202,65,0,Unboxing: Denon AH-C710 In-Ear Headphones,7592,18,2,12,2010-12-22,1,41,439,15
1008,176,79,165,364,0,2011 Apple MacBook Pro,200107,0,6,12,2010-12-26,4,22,793,30
1007,111,11,211,178,0,Mac App Store: First Look | Angry Birds for Mac!,44871,22,0,12,2010-12-27,1,48,651,14
1006,74,2,68,100,0,Blue Yeti Pro USB Stereo Microphone: Hands On Demo,33852,23,0,12,2010-12-27,0,50,775,19
1005,63,4,530,125,0,"CES 2011: Wrap Up, Meets Ups and Highlights.",5033,19,1,12,2010-12-28,1,44,486,26
1004,34,4,152,63,0,Samson Meteor USB Desktop Mic: First Look (NAMM 2011),17246,16,3,1,2011-01-06,9,53,463,19
1003,77,17,202,104,0,Unboxing: Klipsch ProMedia 200 Watt 2.1 Speaker System,32391,22,6,1,2011-01-09,3,54,1660,29
1002,50,12,252,168,0,Universal Audio UAD-2 Satellite for iMac | Macbook Pro: First Look and Demo (NAMM 2011),55641,2,1,1,2011-01-11,2,87,1125,46
1001,67,9,205,176,0,Review: Clear Spot 4G Personal Hotspot,41558,19,3,1,2011-01-13,2,38,605,23
1000,117,17,278,183,0, iPad 2X. Double the Graphics. Double the Power.,24332,1,4,1,2011-01-14,1,49,586,29
999,132,64,79,239,0,Transparent  iPhone 4!,156618,22,0,1,2011-01-17,3,23,527,8
998,22,3,82,59,0,Review: Phillips FlexAdapt for iPhone and iPod,6457,20,2,1,2011-01-19,2,46,509,16
997,12,2,64,27,0,Dead Space 2: First Impressions,2497,0,4,1,2011-01-21,2,31,328,15
996,89,16,172,254,0,2011 iMac Air & 30 inch iMac?!,37899,2,1,1,2011-01-25,4,30,647,24
995,164,22,164,248,0,"Sony Playstation NGP: First Look and Breakdown ""PSP 2""",26165,2,2,1,2011-01-26,1,54,2182,37
994,696,124,184,1756,0,Review: Sennheiser HD 280 PRO Headphones,317565,22,2,1,2011-01-26,0,40,2182,44
993,73,11,143,162,0,Unboxing: AKG K 271 MK II Studio Headphones,53824,0,3,1,2011-01-27,1,43,2127,28
992,584,86,340,3591,0,My Video Setup: Canon 60D + Zoom H1 = Win.,439458,18,3,1,2011-01-27,0,42,1044,26
991,108,27,122,128,0,iPad pwns Samsung Galaxy Tab. 2011 iMac & MacBook Pro Models Delayed :(,10849,16,4,1,2011-01-28,1,71,314,26
990,40,15,105,108,0,*Breaking* iPad 2 Screen Leaked! *Actual Photos*,19623,18,5,1,2011-01-29,1,48,681,32
989,26,8,165,95,0,"Review: Griffin Simplifi 3-in-1 Dock, Hub & Card Reader for iPod and iPhone",11223,1,1,2,2011-02-01,3,75,978,38
987,159,49,112,174,0, iPad 2 is Here! Ships March 11th!,141704,11,2,2,2011-02-02,1,35,657,26
988,123,18,101,423,0,New Canon Rebel T3i and T3 DSLR Cameras: First Look (1100D & 600D),135171,1,2,2,2011-02-02,0,66,998,34
986,48,2,106,149,0,Awesome iPhone 4 Stand: Maclove Titan Desktop Holder (Review),12359,16,3,2,2011-02-03,1,61,541,26
985,59,14,206,76,0,HP TouchPad vs Apple iPad 2: First Look & Comparison - WebOS vs iOS,47913,10,0,2,2011-02-07,4,67,754,15
984,25,2,123,72,0,Unboxing: Verizon iPhone 4!,10754,3,2,2,2011-02-09,2,27,435,21
983,49,5,186,71,0,Verizon iPhone Mobile Hotspot: How to & Speed Test,31140,18,2,2,2011-02-09,0,50,579,30
982,49,8,71,89,0,Verizon vs AT&T iPhone 4: Who's Faster?,15149,1,3,2,2011-02-10,1,39,509,22
981,63,23,90,219,0,Mac Mashup: iPad 3 in Fall? iPhone Nano Coming Soon?,40277,22,3,2,2011-02-10,0,52,689,30
980,187,28,141,974,0,Blue Snowflake USB Mic: Unboxing and Review,110728,0,4,2,2011-02-11,1,43,577,27
979,15,5,72,44,0,Marvel Vs Capcom 3 First Impressions,5676,2,4,2,2011-02-11,0,36,362,15
978,667,135,123,690,0,iPhone 5: What to Expect,642565,20,4,2,2011-02-11,0,24,789,18
977,145,23,127,316,0,Mac Mashup: New MacBook Pros Next Week? 6 inch iPod Touch 5G & Apple HDTV,31332,18,0,2,2011-02-14,3,73,521,14
976,21,4,192,42,0,Marvel Vs Capcom 3 Review,3411,4,1,2,2011-02-15,1,25,298,12
975,58,4,71,152,0,indiSLIDERmini Deluxe Camera Slider Demo (Canon 60D),21870,1,2,2,2011-02-16,1,52,363,19
974,17,2,83,48,0,Killzone 3: First Hour Impressions,2709,23,4,2,2011-02-18,2,34,178,10
973,111,18,118,161,0,"The New 13 inch MacBook Pro: 2.3GHz Core i5, Thunderbolt & HD Facetime (2011)",68877,16,5,2,2011-02-19,1,77,711,16
971,350,35,166,928,0,New 2011 Quad-Core MacBook Pro Unboxing (15-inch Core i7 2.2 GHz),142908,23,1,2,2011-02-22,3,65,759,31
972,169,14,252,197,0,New 2011 MacBook Pro Breakdown: Which Model to Buy?,43029,4,1,2,2011-02-22,0,51,641,19
