,comment_count,dislike_count,duration,like_count,view_count,days_after_last_video,title_length,description_length,tag_count,weekend,season_0,season_1,season_3,day_part_0,day_part_1,day_part_3,season_0,season_1,season_3,day_part_0,day_part_1,day_part_3,review,apple,google,samsung,tesla
109,23,9,427,87,11859,0,26,79,4,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
110,44,11,141,73,10267,0,50,381,44,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
111,18,10,199,53,6508,0,33,369,33,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
112,34,3,236,142,11891,1,10,240,29,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
113,48,10,16,145,12127,1,21,202,48,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
114,17,5,246,58,3471,0,41,497,30,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
115,20,9,65,130,15700,2,26,131,6,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
116,15,7,472,48,4442,1,42,432,35,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
117,42,13,131,90,4508,3,26,67,31,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
118,10,4,326,33,1697,0,30,358,27,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
119,9,5,178,35,3356,1,40,934,32,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
120,44,15,8,84,21996,0,40,277,31,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
121,17,1,24,34,1792,1,26,109,8,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
122,59,9,317,210,20631,1,45,457,28,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
123,37,31,181,122,26834,1,52,219,16,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
124,15,2,278,30,1355,1,48,250,42,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
125,26,4,215,71,4111,2,33,380,36,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
126,34,3,90,105,4949,1,12,143,24,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
127,21,3,258,100,17088,0,36,456,24,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
128,34,3,171,76,8196,1,45,351,26,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
129,31,4,32,120,4709,1,12,1503,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
130,23,12,242,56,16383,1,32,315,20,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
131,15,5,301,53,10705,0,38,336,21,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
132,16,4,79,28,1454,1,61,266,27,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
133,12,3,128,36,3606,2,32,322,26,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
134,64,6,241,168,7841,1,33,241,15,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
135,35,17,326,137,10699,1,44,477,25,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
136,7,3,32,30,1699,0,49,363,20,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
137,5,3,218,21,1919,2,38,454,19,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
138,25,4,73,172,11330,0,10,153,17,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
139,15,5,217,88,6956,2,51,428,17,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
140,10,4,192,67,2328,2,31,261,28,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
141,27,14,146,96,13569,0,33,316,15,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
142,10,7,242,77,4776,1,46,963,20,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
143,18,15,184,39,12940,2,30,608,24,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
144,9,3,258,49,4324,1,22,616,23,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
145,35,7,97,208,17531,0,48,409,23,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
146,8,3,271,58,5422,0,45,814,19,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
147,11,2,280,43,1560,0,48,547,33,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
148,30,3,221,121,8379,1,35,566,29,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
149,13,3,298,72,8704,1,49,919,14,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
150,20,1,268,55,4653,0,38,933,27,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
151,13,2,227,66,4482,1,41,400,12,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
152,12,2,201,50,4908,1,21,456,30,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
153,13,6,337,63,8857,1,43,610,19,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
154,9,2,212,67,3420,1,34,480,23,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
155,14,7,152,75,4409,0,36,353,21,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
156,25,4,348,87,8492,3,47,1183,28,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
157,14,6,290,75,3933,0,37,539,25,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
158,23,4,167,117,7283,1,43,400,25,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
159,14,6,284,60,4529,2,51,888,27,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
160,27,7,233,123,11587,2,43,374,31,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
161,74,6,223,520,26579,0,16,199,29,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
162,79,9,351,276,21614,1,41,373,37,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
163,31,5,257,109,10378,3,62,954,35,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
164,6,2,283,40,3393,2,47,872,31,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
